,Delegates,Loan Matches,Scores
28577,Brown John,John Browne,90.47619047619048
30692,Brown John,John Jr. Brown,95.0
30693,Brown John,John Sr. Brown,95.0
21438,Caleb Curtiss,Caleb Curtis,96.0
16287,Caleb Davis,Caleb Davis,100.0
623,Caleb Strong,Caleb Strong,100.0
3400,Champlin George,George Champlain,91.93548387096774
39727,Charles Barrett,Charles Barret,96.55172413793103
428,Charles Burrall,Charles Burrall,100.0
5280,Charles Chilton,Charles Chilton,100.0
33038,Charles Gerrard,Charles Gerrard,100.0
5411,Charles Grahame,Charles Graham,96.55172413793103
17271,Charles Jarvis,Charles Jarvis,100.0
4400,Charles Johnson,Charles Johnston,96.7741935483871
3976,Charles Phelps,Charles Phelps,100.0
1454,Charles Pinckney,Charles C Pinckney,95.0
7651,Charles Ridgely,Charles Ridgely,100.0
18847,Charles Turner,Charles Turner,100.0
17725,Charles Whitman,Charles Whitman,100.0
12814,Christopher P.  Yates,Christopher P Yates,95.0
12813,Christopher P.  Yates,Christopher Yates,95.0
27798,Clark John I,John Clark,95.0
3402,Clarke Peleg,Peleg Clarke,95.0
4619,Comstock Betts,Comstock Betts,100.0
3428,Congdon William,Willam Congdon,91.72413793103448
5965,Constant Southworth,Constant Southworth,100.0
13834,Cornelius C. Schoonmaker,Cornelius C Schoonmaker,97.87234042553192
13835,Cornelius C. Schoonmaker,Cornelius Schoonmaker,95.0
7889,Cornelius C. Schoonmaker,Cornelius Shoonmaker,90.9090909090909
471,Cornelius Higgins,Cornelius Higgins,100.0
4832,Cornelius Higgins,Cornelius Higgns,96.96969696969697
16512,Cotton Tufts,Cotton Tufts,100.0
9901,Daniel Adams,Daniel Adams,100.0
1799,Daniel Adams,Daniel J Adams,95.0
1800,Daniel Adams,Daniel Jenifer Adams,85.5
5949,Daniel Bassett,Daniel Bassett,100.0
3371,Daniel Cannon,Daniel Cannon,100.0
4998,Daniel Cannon,Daniel mc cannon deceased,85.5
252,Daniel Everitt,Daniel Everitt,100.0
3736,Daniel Foot,Daniel Foot,100.0
5896,Daniel Hall,Daniel Hall,100.0
272,Daniel Holbrook,Daniel Holbrook,100.0
20268,Daniel Howard,Daniel Howard,100.0
5773,Daniel Humphry,Daniel Humphry,100.0
4562,Daniel Miles,Daniel Miles,100.0
5685,Daniel Perkins,Daniel Perkins,100.0
17054,Daniel Rodgers,Daniel D Rogers,89.65517241379311
17055,Daniel Rodgers,Daniel Denison Rogers,85.5
17053,Daniel Rodgers,Daniel Rogers,96.29629629629629
16515,Daniel Shute,Daniel Shute,100.0
34631,Daniel Smith,Daniel Smith,100.0
24128,Daniel Stevens,Daniel Stevens,100.0
4007,Daniel Whitney,Daniel Whitney,100.0
1683,David Bell,David Bell,100.0
1859,David Brearley,David Brearley,100.0
720,David Brearley,Honorable David Brearley,90.0
819,David Brearly,David Brearley,96.29629629629629
5792,David Brooks,David Brook,95.65217391304348
5791,David Brooks,David Brooks,100.0
20699,David Brown,David Brown,100.0
32139,David Caldwell,David Caldwell,100.0
367,David Crane ,David Crane,100.0
14916,David Deshler,David Deshler,100.0
20973,David Gilmore,David Gillmore,96.29629629629629
20972,David Gilmore,David Gilmore,100.0
7537,David Grier,David Grier,100.0
13601,David Hedges,David Hedges,100.0
14914,David Hopkins,David Hopkins,100.0
28905,David Jameson,David Jameson,100.0
22947,David Murray,David Murray,100.0
39629,David Page,David Page,100.0
934,David Potter,David Potter,100.0
31266,David Rice,David Rice,100.0
19853,David Shepard,David Shepard,100.0
4701,David Smith,David Smith,100.0
31343,David Stone,David Stone,100.0
8682,David Stuart,David Steuart,96.0
5045,David Todd,David Todd,100.0
31339,David Turner,David Turner,100.0
37062,David Wilson,David Willson,96.0
34643,David Wilson,David Wilson,100.0
30485,Davis John,John Davies,90.47619047619048
28357,Davis John,John Davis,95.0
30484,Davis John,John G Davis,95.0
28467,Dexter John S,John Dexter,95.0
30593,Dexter John S,John S Dexter,95.0
13895,Dirck Wynkoop,Dirck Wynkoop,100.0
3414,Durfree Job,Job Durfee,90.47619047619048
19017,E. Brooks,Moses E Brooks,85.5
14815,Ebenezer Clark,Ebenezer Clark,100.0
14816,Ebenezer Clark,Ebenezer Clarke,96.55172413793103
40018,Ebenezer Cummings,Ebenezer Cummins,96.96969696969697
19542,Ebenezer James,Ebenezer James,100.0
5263,Ebenezer Nash,Ebenezer Nash,100.0
37465,Ebenezer Smith,Ebenezer Smith,100.0
37466,Ebenezer Smith,Ebenezer Smith Fowle,95.0
37467,Ebenezer Smith,Ebenezer Smith PLott,95.0
16508,Ebenezer Wales,Ebenezer Wales,100.0
16797,Ebenezer Warren,Ebenezer Warren,100.0
40356,Ebenezer Webster,Ebenezer Webster,100.0
4822,Ebenezer White,Ebenezer White,100.0
804,Edmund Wetherby ,Edmund Wetherby,100.0
23653,Edward Blake,Edward Blake,100.0
7017,Edward Lloyd,Edward Lloyd,100.0
4910,Edward Ward,Edward Ward,100.0
1757,Edward White,Edward White,100.0
36268,Edward Williams,Edward Williams,100.0
36270,Edward Williams,William Edward,91.72413793103448
36272,Edward Williams,William Edwards,88.66666666666666
7177,Edward Williams,edward p williams,95.0
622,Elbridge Gerry,Elbridge Gerry,100.0
285,Elbridge Gerry,Eldbridge Gerry,96.55172413793103
36506,Elias Barnes,Elias Barnes,100.0
2650,Elihu Marvin,Elihu Marvin,100.0
4436,Eliphalet Dyer,Eliphalet Dyer,100.0
2624,Elisha Carpenter,Elisha Carpenter,100.0
596,Elisha Lawrence,Elisha Lawrence,100.0
4433,Elisha Mills,Eisha Mills,95.65217391304348
4432,Elisha Mills,Elisha Mills,100.0
20264,Elisha Mitchell,Elisha Mitchell,100.0
218,Elisha Pitkin,Elisha Pitkin,100.0
7454,Enoch Edwards,Enoch Edwards,100.0
30404,Enoch Sawyer,Enoch Sawyer,100.0
588,Ephraim Carpenter,Ephraim Carpenter,100.0
23271,Ephraim Fitch,Ephraim Fitch,100.0
483,Ephraim Root,Ephraim Root,100.0
1886,Ephraim Williams,Ephraim Williams,100.0
36191,Ezra Green,Ezra Green,100.0
16830,Francis Cabot,Francis Cabbot,96.29629629629629
17415,Francis Dana,Francis Dana,100.0
14035,Frederick A. Muhlenberg,Frederick A Muhlenberg,97.77777777777777
14034,Frederick A. Muhlenberg,Frederick A. Muhlenberg,100.0
14037,Frederick A. Muhlenberg,Frederick Muhlenberg,95.0
14036,Frederick A. Muhlenberg,Fredrick A Muhlenberg,95.45454545454545
4340,French Strother,French Strother,100.0
11299,Gabriel Jones,Gabriel Jones,100.0
10323,George Carrington,George Carrington,100.0
9333,George Carrington,George Carrington Jr,95.0
13815,George Clinton,George Clinton,100.0
14823,George Clinton,George Linton,96.29629629629629
1213,George Clymer,George Clymer,100.0
1215,George Clymer,his inlaws george clymer,90.0
5935,George Digges,George Diggs,96.0
33754,George Doherty,George Doherty,100.0
15245,George Gray,George Gray,100.0
33788,George H. Berger,George Berger,95.0
33790,George H. Berger,George H,90.0
2430,George Handley,George Handley,100.0
36630,George Houser,George House,96.0
5114,George Jackson,George H Jackson,95.0
1748,George Mason,George Mason,100.0
2241,George Matthews,George Mathews,96.55172413793103
33182,George Mitchell,George Michell,96.55172413793103
33181,George Mitchell,George Mitchell,100.0
8744,George Parker,George Parker,100.0
3815,George Payson,George Payson,100.0
103,George Read,George Read,100.0
1529,George Truitt,George Truit,96.0
1631,George Washington,George Washington,100.0
1633,George Washington,George Washington Esqr,95.0
1634,George Washington,George Washington Trustees,90.0
3519,Gideon Buckingham,Gideon Buckingham,100.0
12477,Gilbert Livingston,Gilbert K Livingston,95.0
12478,Gilbert Livingston,Gilbert R Livingston,95.0
30026,Greene Christopher,Christopher Green,92.28571428571428
3464,Greene Job,Job Greene,95.0
142,Gunning Bedford Jr.,Gunning Bedford,95.0
1853,"Gunning Bedford, Jr.",Gunning Bedford,95.0
1790,"Gunning Bedford, Sr.",Gunning Bedford,95.0
5521,Gustavus Richard Brown,Richard Brown,90.0
36955,Hardy Holmes,Hardy Holmes,100.0
33975,Hardy Murfee,Hardy Murfee,100.0
32563,Henry Abbott,Henry Abbott,100.0
31697,Henry Baker,Henry Baker,100.0
15132,Henry Baker,Henry Barker,95.65217391304348
12321,Henry Dickenson,Henry Dickenson,100.0
31088,Henry Hill,Henry Hill,100.0
5705,Henry Hollingsworth,Henry Hollingsworth,100.0
5124,Henry Lane,Henry Lane,100.0
22505,Henry Laurens,Henry Laurens,100.0
8251,Henry Lee,Henry Lee,100.0
11946,Henry Lee III,Henry Lee,95.0
14587,Henry Slagle,Henry Slagle,100.0
13282,Henry Wisner,Henry Wisner,100.0
14268,Henry Wynkoop,Henry Wynkoop,100.0
4835,Hezekiah Brainard,Hezekiah Brainard,100.0
494,Hezekiah Holcomb,Hezekiah Holcomb,100.0
474,Hezekiah Lane,Hezekiah Lane,100.0
4454,Hezekiah Rogers,Hezekiah Rogers,100.0
28001,Howard Jonathan J,Jonathan Howard,95.0
30939,Howard William,William Howard,95.0
25512,Hugh White,Hugh White,100.0
11599,Hugh Wilson,Hugh Willson,95.65217391304348
3557,Hugh Wilson,Hugh Wilson,100.0
1981,Icabod Weeks,Ichabod Weeks,96.0
4919,Ichabod Warner,Ichabod Warner,100.0
34000,Isaac Clarke,Isaac Clark,95.65217391304348
33999,Isaac Clarke,Isaac Clarke,100.0
1395,Isaac Cooper,Isaac Cooper,100.0
5009,Isaac Foot,Isaac Foot,100.0
38065,Isaac Guion,Isaac Guion,100.0
25222,Isaac Harleston,Isaac Harleston,100.0
2585,Isaac Lee,Isaac Lee,100.0
927,Isaac Mansfield,Isaac Mansfield,100.0
25273,Isaac Parker,Isaac Parker,100.0
39135,Isaac Patterson,Isaac Patterson,100.0
5388,Isaac Perkins,Isaac Perkins,100.0
13183,Isaac Roosevelt,Isaac Roosevelt,100.0
13184,Isaac Roosevelt,Isaac Rosevelt,96.55172413793103
22717,Isaac Snow,Isaac Snow,100.0
18954,Isaac Thompson,Isaac Thompson,100.0
17345,Israel Clark,Israel Clark,100.0
470,Jabez Chapman,Jabez Chapman,100.0
2989,Jabez Fitch,Jabez Fitch,100.0
21264,Jacob Bradbury,Jacob Bradbury,100.0
244,Jacob Broom,Jacob Broom,100.0
28912,Jacob Brown,Jacob Brown,100.0
28913,Jacob Brown,Jacob R Brown,95.0
37379,Jacob Green,Jacob Green,100.0
32228,Jacob Johnston,Jacob Johnson,96.29629629629629
34486,Jacob Johnston,Jacob Johnston,100.0
5757,Jacob Rinker,Jacob Brinker,96.0
11344,Jacob Rinker,Jacob Rinker,100.0
2366,Jacob Weed,Jacob Weed,100.0
20455,Jacob Willard,Jacob Willard,100.0
7007,Jacobus Swartwout,Jacobus Swartout,96.96969696969697
7006,Jacobus Swartwout,Jacobus Swartwout,100.0
30767,James Anderson,James Anderson,100.0
33702,James Armstrong,James Armstrong,100.0
33703,James Armstrong,James F Armstrong,95.0
1688,James Black,James Black,100.0
4951,James Bradford,James Bradford,100.0
7841,James Campbell,James Cambell,96.29629629629629
15313,James Campbell,James Campbell,100.0
21045,James Carr,James Carr,100.0
14827,James Clinton,James Clinton,100.0
26823,James Craig,James Craig,100.0
4558,James Davenport,James Davenport,100.0
7257,James Duane,James Duane,100.0
16912,James Edgar,James Edgar,100.0
27257,James G. Hunt,James Hunt,95.0
18617,James Gallaway,James Gallaway,100.0
32897,James Gillespie,James Gillespie,100.0
9976,James Gordon,James Gordon,100.0
5805,James Gordon Heron,James Gordon,90.0
2754,James Gordon Heron,James Herron,85.5
38263,James Gray,James Gray,100.0
38264,James Gray,James W Gray,95.0
37593,James Handley,James Hanley,96.0
9757,James Johnson,James Johnson,100.0
10740,James Johnson,James Johnston,96.29629629629629
28814,James Jordan,James Jordan,100.0
13177,James Knox,James Knox,100.0
15910,James Marshall,James Marshall,100.0
7899,James Martin,James Martain,96.0
7091,James Martin,James Martin,100.0
7900,James Martin,James Sr. Martin,95.0
2310,James Maxwell,James Maxwell,100.0
1710,James McClurg,James McClurg,100.0
11880,James Montgomery,James Montgomery,100.0
4369,James Moore,James Farncis Moore,85.5
29919,James Moore,James Moore,100.0
32111,James Moore,James Mooree,95.65217391304348
15198,James Morris,James Morris,100.0
7819,James Morris,James Morris Jones,90.0
1548,James Morris,James Morriss,96.0
21083,James Neal,James Neal,100.0
26348,James Pettigrew,James Pettigrew,100.0
32507,James Porter,James Porter,100.0
2992,James Potter,James Potter,100.0
6390,James Shaw,James Shaw,100.0
23910,James Stewart,James Stewart,100.0
1610,James Sykes,James Sykes,100.0
8401,James Taylor,James Taylor,100.0
9347,James Taylor,James Tylor,95.65217391304348
30642,James Thomas,James Jr. Thomas,95.0
30643,James Thomas,James Sr. Thomas,95.0
28531,James Thomas,James Thomas,100.0
30641,James Thomas,Thomas James,95.0
28554,James Thomas,William Thomas Exos James Ecum,85.5
36936,James Thompson,James E Thomson,89.65517241379311
34561,James Thompson,James Thompson,100.0
36935,James Thompson,James Thomson,96.29629629629629
34766,James Turner,James Turner,100.0
8658,James Upshaw,James Upshaw,100.0
34093,James Watson,James Watson,100.0
11688,James Webb,James Webb,100.0
31914,James White,James White,100.0
7162,James White,James white deceased,90.0
20633,James Williams,James M'Williams,95.0
19267,James Williams,James Williams,100.0
19270,James Williams,William James,91.48148148148147
1295,James Wilson,James Willson,96.0
1294,James Wilson,James Wilson,100.0
14586,Jasper Yeates,Jasper Yeates,100.0
286,Jedediah Huntington,Jeddediah Huntington,97.43589743589743
3706,Jedediah Huntington,Jedediah Huntington,100.0
802,Jeremiah Eldredge,Jeremiah Eldredge,100.0
36387,Jeremiah Fogg,Jeremiah Fogg,100.0
3971,Jeremiah Halsey,Jeremiah Halsey,100.0
37701,Jeremiah Ripley,Jeremiah Ripley,100.0
8316,Jeremiah Townley Chase,Jeremiah Chase,85.5
2578,Jeremiah Wadsworth,Jeremiah Wadsworth,100.0
5517,Jeremiah West,Jeremiah West,100.0
31003,Jesse Gilbert,Jesse Gilbert,100.0
31004,Jesse Gilbert,Jessee Gilbert,96.29629629629629
805,Jesse Hand,Jesse Hand,100.0
36373,Jesse Johnson,Jesse Johnson,100.0
19857,Jesse Reed,Jesse Reed,100.0
7691,Jesse Woodhull,Jesse Woodhull,100.0
37600,Joel Lane,Joel Lane,100.0
33039,Joel Rice,Joel Rice,100.0
11674,John  Allen,John Allen,95.23809523809524
12693,John  Allen,John Alleng,90.9090909090909
20596,John  Fox,John Fox,95.0
38528,John  Fox,John fox,95.0
435,John  Whittlesey,John Whittlesey,96.7741935483871
15744,John A. Campbell,John Cambell,85.71428571428571
32872,John A. Campbell,John Campbel,85.71428571428571
32871,John A. Campbell,John Campbell,95.0
29681,John Allen,John Allen,100.0
31870,John Allen,John Allen McClay,90.0
31867,John Allen,John Alleng,95.23809523809524
16178,John Allen,John Van Allen,95.0
16179,John Allen,John Van allen,95.0
15220,John Allison,John Allison,100.0
31833,John Anderson,John Anderson,100.0
31834,John Anderson,John Sanderson,96.29629629629629
34105,John Anderson,John Vanderson,96.29629629629629
6157,John Andre Hanna,John Hanna,85.5
14731,John Arndt,John Arndt,100.0
21117,John Ashley,John Ashley,100.0
23141,John Ashley,John Lashley,95.65217391304348
15760,John Baird,John Baird,100.0
31302,John Baker,John Baker,100.0
31304,John Baker,John Banker,95.23809523809524
31303,John Baker,John Barker,95.23809523809524
33588,John Baker,John F Baker,95.0
33611,John Baker,John Frederick Baker,85.5
33757,John Baptista Ashe,John Baptist,90.0
14277,John Barclay,John Barclay,100.0
16549,John Baxter,John Baxter,100.0
6794,John Bay,John Bay,100.0
4354,John Beach,John Beach,100.0
173,John Beatty,Honorable John Beatty,90.0
517,John Beatty,John Beatty,100.0
518,John Beatty,John Beaty,95.23809523809524
15664,John Bishop,John Bishop,100.0
14628,John Black,John Black,100.0
1459,John Blair,John Blair,100.0
1460,John Blair,John Blaire,95.23809523809524
12993,"John Blair, Jun.",John Blair,90.0
24028,John Blake,John Blake,100.0
26106,John Bowman,John Bowman,100.0
14943,John Boyd,John Boyd,100.0
17638,John Brooks,John Brook,95.23809523809524
18751,John Brooks,John Brookes,95.65217391304348
17637,John Brooks,John Brooks,100.0
37734,John Brown,John 2d Brown,95.0
37735,John Brown,John A Brown,95.0
37781,John Brown,John Alex Brown,85.5
35251,John Brown,John Brown,100.0
37740,John Brown,John Brown Cutting,90.0
35252,John Brown,John Browne,95.23809523809524
37736,John Brown,John Jr. Brown,95.0
37737,John Brown,John Sr. Brown,95.0
22062,John Budd,John Budd,100.0
24194,John Budd,John Shivers Budd,85.5
26449,John Burgess,John Burges,95.65217391304348
24303,John Burgess,John Burgess,100.0
18286,John Burnham,John Burham,95.65217391304348
18287,John Burnham,John Burnam,95.65217391304348
17203,John Burnham,John Burnham,100.0
35929,John Calfe,John Calfe,100.0
7856,John Cantine,John Cantine,100.0
31792,John Carson,John Carson,100.0
9397,John Carter Littlepage,John Carter,90.0
10418,John Carter Littlepage,John Cartier,86.08695652173914
10416,John Carter Littlepage,John Littlepage,95.0
3008,John Chandler,John Chandler,100.0
12201,John Chesnut,John Chesnut,100.0
3336,John Chester,John Chester,100.0
3542,John Chester,John Chesters,96.0
3543,John Chester,John Hester,95.65217391304348
109,John Chetwood,John Chetwood,100.0
37185,John Cochran,John Cochran,100.0
40023,John Cochran,John Cohran,95.65217391304348
16292,John Coffin Jones,John Coffin Jones,100.0
27616,John Collins,John Collin,95.65217391304348
29736,John Collins,John Collins,100.0
29738,John Collins,John Jr. Collins,95.0
26878,John Cook,John Cook,100.0
28932,John Cook,John Jr. Cook,95.0
28933,John Cook,John Sr. Cook,95.0
3338,John Cook,John Wanton Cook,85.5
7614,John Coulter,John Colter,95.65217391304348
6826,John Coulter,John Coulter,100.0
31486,John Cowan,John M'Cowan,95.0
39922,John Cragin,John Crain,95.23809523809524
3175,John Curtiss,John Curtis,95.65217391304348
3362,John Curtiss,John Curtiss,100.0
34005,John Dabney,John Abney,95.23809523809524
4232,"John Davenport, Jun.",John Davenport,95.0
20020,John Davis,John Davies,95.23809523809524
18737,John Davis,John Davis,100.0
18739,John Davis,John Davis Williams,90.0
20021,John Davis,John G Davis,95.0
12498,John Dawson,John Dawson,100.0
13419,John DeWitt,John DeWitt,100.0
13418,John DeWitt,John Dewitt,100.0
6956,John DeWitt,John L Dewitt,95.0
143,John Dickinson,John Dickinson,100.0
7128,John Done,John Done,100.0
37171,John Drew,John Drew,100.0
20763,John Dunlap,John Dunlap,100.0
10032,John Early,John Early,100.0
32184,John Easton,John Easton,100.0
32185,John Easton,John Eaton,95.23809523809524
11519,John Eborn,John Heborn,95.23809523809524
4952,John Edwards,John Edward,95.65217391304348
22295,John Edwards,John Edwards,100.0
24398,John Edwards,John Jr. Edwards,95.0
24399,John Edwards,John Sr. Edwards,95.0
2233,John Elliot,John Elliot,100.0
2234,John Elliot,John Elliott,95.65217391304348
435,John Elliot,John elliott deceased,90.0
10466,John Evans,John Evans,100.0
520,John F. Mercer,John Mercer,95.0
95,John Fell,John Fell,100.0
8695,John Fowler,John Fowle,95.23809523809524
8694,John Fowler,John Fowler,100.0
7549,John Francis Mercer,John Francis,90.0
7548,John Francis Mercer,John Francis Mercer,100.0
7036,John Frey,John Frey,100.0
20342,John Frye,John Frye,100.0
32268,John Fulford,John Fulford,100.0
20019,John Fuller,John Fuller,100.0
32711,John G. Scull,John Scull,95.0
7147,John Gale,John Gale,100.0
10835,John Glaze,John Glaze,100.0
16978,John Glover,John Glover,100.0
32640,John Graves,John Graves,100.0
34443,John H. Bryan,John Bryan,95.0
34444,John H. Bryan,John O'Bryan,88.0
29232,John Hall,John Hall,100.0
19631,John Hamilton,John A Hamilton,95.0
18367,John Hamilton,John Hamilton,100.0
18368,John Hamilton,John Hammilton,96.29629629629629
26556,John Hampton,John Hampton,100.0
16159,John Hancock,John Hancock,100.0
7496,John Hannum,John Hannum,100.0
5326,John Haring,John D Harring,88.0
14229,John Haring,John Harding,95.65217391304348
7552,John Haring,John Haring,100.0
16426,John Harris,John 2d Harris,95.0
15427,John Harris,John Harris,100.0
16427,John Harris,John Jr. Harris,95.0
11574,John Hartwell Cocke,John Hartwell Cocke,100.0
29813,John Hay,John Hay,100.0
3461,John Holbrook,John Holbrook,100.0
12761,John Howell Briggs,John Howel,90.0
11753,John Howell Briggs,John Howell,90.0
14509,John Hubley,John Hubley,100.0
14122,John Hunn,John Hunn,100.0
31933,John Hunt,John Hunt,100.0
34212,John Hunt,John S Hunt,95.0
26650,John Hunter,John Hunter,100.0
19376,John Ingersoll,John Ingersoll,100.0
1110,John Ingram,John Ingram,100.0
851,John Jacob Faesch ,John Jacob,90.0
253,John Jacob Faesch ,John Jacob Faesh,96.96969696969697
852,John Jacob Faesch ,John Jacobs,85.71428571428572
12957,John Jay,John Jay,100.0
12958,John Jay,John Jay Bleecker,90.0
19891,John Jennings,John Jennings,100.0
29019,John Johnston,John Johnson,96.0
31180,John Johnston,John Johnston,100.0
31181,John Johnston,John Johnstone,96.29629629629629
1203,John Jones,John Johnes,95.23809523809524
1185,John Jones,John Jones,100.0
1204,John Jones,John Joynes,95.23809523809524
1193,John Jones,John Paul Jones,85.5
25841,John Joyner,John Joyner,100.0
22422,John K. Smith,John K Smith,96.0
20530,John K. Smith,John Smith,95.0
23771,John Kean,John Kean,100.0
2120,John King,John King,100.0
625,John Langdon,John Langdon,100.0
916,John Lansing Jr.,John Lansing,95.0
13172,"John Lansing, Jun. ",John Lansing,95.0
1402,John Laws,John Laws,100.0
24573,John Lewis Bourquin,John Lewis,90.0
13256,John Lewis Bourquin,John lewis,90.0
25807,John Lewis Gervias,John Lewis,90.0
14120,John Lewis Gervias,John lewis,90.0
26435,John Lindsey,John Linsey,95.65217391304348
15038,John Linton,John Clinton,95.65217391304348
29540,John Linton,John Linton,100.0
23486,John Lloyd,John Lloyd,100.0
8598,John Lloyd,John Lloyd ,100.0
10147,John Logan,John Logan,100.0
8537,John Love,John Love,100.0
18134,John Low,John Low,100.0
27365,John Lowry,John Lowrey,95.23809523809524
25303,John Lowry,John Lowry,100.0
15588,John Ludwig,John Ludwig,100.0
16561,John Ludwig,John M'Ludwig,95.0
9585,John Marshall,John Marshall,100.0
21537,John Matthews,John Mathews,96.0
21536,John Matthews,John Matthews,100.0
24696,John McPherson,John McPherson,100.0
11280,John Miller,John 1st Miller,95.0
11281,John Miller,John 2d Miller,95.0
11282,John Miller,John C Miller,95.0
11334,John Miller,John George Miller,85.5
11284,John Miller,John M'Miller,95.0
10248,John Miller,John Miller,100.0
11283,John Miller,John P Miller,95.0
17523,John Minot,John Minot,100.0
17524,John Minot,John Minots,95.23809523809524
17525,John Minot,John Minott,95.23809523809524
25531,John Montgomery,John Mongomery,96.55172413793103
25530,John Montgomery,John Montgomery,100.0
32245,John Moore,John Moore,100.0
34496,John Moore,John Moores,95.23809523809524
34497,John Moore,John W Moore,95.0
382,John Neilson,John Jr. Neilson,95.0
420,John Neilson,John Neilson,100.0
421,John Neilson,John Nelson,95.65217391304348
422,John Neilson,John Nilson,95.65217391304348
15330,John Nesbitt (Nisbet),John Nesbitt,90.0
7786,John Nevill,John Neill,95.23809523809524
16099,John Nevill,John Nevill,100.0
37099,John Overton,John Overton,100.0
25115,John Palmer,John Palmer,100.0
22859,John Parker,John Parker,100.0
5950,John Parnham,John Parham,95.65217391304348
5949,John Parnham,John Parnham,100.0
