,original name,new name
246,Executrix of William Henry,executor
247,Executive Estate of Thomas Satter deceased,executor
248,as Executor to Henry Coram,executor
249,Executor to the Estate of Francis Hopkinson deceased,executor
250,Execcutor of Jacob Motte,executor
251,G. Man,gentleman
252,Genl Man,gentleman
253,Genl man,gentleman
254,Gent.,gentleman
255,Gent. in the Court,gentleman
256,Gentn,gentleman
257,G. Woman,gentlewoman
258,Gen. Woman,gentlewoman
259,Genl Woman,gentlewoman
260,Genl woman,gentlewoman
261,Gent. w.,gentlewoman
262,Gentle Wm,gentlewoman
263,Gentlewoman,gentlewoman
264,Gentlewomen,gentlewoman
265,Gentw,gentlewoman
266,Merch.,merchant
267,Mercht,merchant
268,Mert,merchant
269,Mert.,merchant
270,Guardian to Christopher Snider,guardian
271,Guardian to Adam Guier,guardian
272,Guardian for George Lawrence Young,guardian
273,Deceased Estate of,trustee
274,Estate William Butler,trustee
275,Estate of Philip Boehm Deceased,trustee
276,Ex to the Estate Christopher Grover,trustee
277,For the Estate Abraham Robinson,trustee
278,His estate,trustee
279,In Trust for the use of the Heris of Samuel McFarran Deceased,trustee
280,Trustee,trustee
281,Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased,trustee
282,Trustee to Geo and William Peck,trustee
283,for the Estate of William Allison deceased,trustee
284,of Jas,trustee
285,of Nicholas,trustee
286,Acct,accountant
287,At State House,doorkeeper
288,Attory at Law,attorney
289,Attory,attorney
290,B.Smith,blacksmith
291,Bl. Smith,blacksmith
292,Board Buildr,board builder
293,Book binder,book binder
294,Carpentr,carpenter
295,Carpr,carpenter
296,Clk. Market,cloak maker
297,Coach Maker,coach maker
298,Colonel,colonel
299,Consul of the French Nation,consul
300,Currier,currier
301,House Carp.,carpenter
302,House Carpenter,carpenter
303,Brees maker,baker
304,Inn keeper,inn keeper
305,Iron Monger,ironmonger
306,Mill S. Makr,miller
307,Minister Luth. Cong.,minister
308,Ministers their Widows and Children,minister
309,Rigger,rigger
310,School Mastr,school master
311,Ships Their Widows and Children,
312,Shoe Mak.,shoemaker
313,Shoe Marker,shoemaker
314,Shop Kr,shopkeeper
315,Shop keeper,shopkeeper
316,Skinner,skinner
317,Sugar Baker,baker
318,Surveyor,surveyor
319,Tallow Chanr,candlekeeper
320,Tavern k.,inn keeper
321,Wd,widow
322,Plane Maker,wooden planemaker
323,Printer & Bookseller,printer
324,Professor in the University,professor
325,Providence,
326,"Notary, Scrivener, & Broker","['notary', 'scrivener', 'broker']"
327,Governor of the State,governor
328,Boardg School,boardinghouse keeper
329,Boardg hous,boardinghouse keeper
330,City Commr,city commissioner
331,Clerk in Rec. Genl of Land Office,clerk
332,Grocer,grocer
333,Lab,
334,Negroe,negroe
335,Plaisterer,plasterer
336,Receiver Gen. of Land Office,receiver general of land office
337,junior,
