,Search Names,Search Name,# debtholders,Original Names,count,6p_Total,6p_def_Total,3p_Total,Location,Family Size,Slavecount,Match Status,Match Reason,notes,url
32,['Alexander Macomb'],Alexander Macomb,1,['Alexander Macomb'],2,0.0,0.0,28570.0,"New York City West Ward, New York, New York",25.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alexander_Macomb&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
252,['George Service'],George Service,1,['George Service'],14,37822.0,19015.0,27897.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Service&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
188,['Edward Parker'],Edward Parker,1,['Edward Parker'],6,4376.0,2188.0,27159.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edward_Parker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
706,['Robert Gilchrist'],Robert Gilchrist,1,['Robert Gilchrist'],25,0.0,3767.0,26420.0,"New York City Dock Ward, New York, New York",6.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Gilchrist&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
216,"['John Atkenson', 'Francis Atkinson']",John Atkenson,2,['John and Francis Atkinson'],17,9169.0,4637.0,25777.0,"New York City East Ward, New York, New York",13.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
836,['William Armstrong'],William Armstrong,1,['Armstrong and Barnswall'],8,0.0,0.0,25490.0,,,,No Match,Too Many Potential Matches Found (4),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Armstrong&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
786,['Thomas Euen'],Thomas Euen,1,['Thomas McEuen'],10,3984.0,3849.0,24540.0,"New York City Dock Ward, New York, New York",1.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas Mc_Euen&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
494,['John Murray'],John Murray,1,['John Murray'],5,0.0,0.0,24013.0,,,,No Match,Too Many Potential Matches Found (6),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Murray&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
150,['Daniel Ludlow'],Daniel Ludlow,1,['Daniel Ludlow'],10,27452.0,13780.0,23122.0,,,,No Match,Too Many Potential Matches Found (3),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Ludlow&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
136,['Cornelius Ten Broeck'],Cornelius Ten Broeck,1,['Cornelius Ten Broeck'],4,0.0,0.0,21526.0,,,,No Match,Too Many Potential Matches Found (6),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Cornelius Ten_Broeck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
90,['Berry and Rogers'],Berry and Rogers,1,['Berry and Rogers'],8,19607.0,9954.0,20421.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Berry and_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
621,['Michael McLauchlin'],Michael McLauchlin,1,['Michael McLachlan'],2,0.0,0.0,20127.0,"New York City Out Ward, New York, New York",2.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_McLachlan&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
75,['Benjamin F West'],Benjamin F West,1,['Benjamin F West'],1,0.0,0.0,20000.0,,,,No Match,Too Many Potential Matches Found (4),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Benjamin F_West&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
268,['Grund'],Grund,1,['Grund and Co'],2,0.0,0.0,19986.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=_Grund&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
483,['John Laurence'],John Laurence,1,"['John Lawrence', 'John Laurence']",5,3833.0,1967.0,19961.0,,,,No Match,Too Many Potential Matches Found (14),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Laurence&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
545,['Jonathan Dayton'],Jonathan Dayton,1,['Jonathan Dayton'],8,17142.0,8570.0,19849.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Dayton&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
271,['Gulian McEvers'],Gulian McEvers,1,['Gulian McEvers'],13,0.0,0.0,18327.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gulian_McEvers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
705,['Robert Elaer'],Robert Elaer,1,"['Robert Elaer', 'Robert Elam']",5,0.0,0.0,18098.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Elaer&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
410,['John Ashley'],John Ashley,1,['John Ashley'],3,1180.0,592.0,17759.0,"New York City North Ward, New York, New York",3.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Ashley&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
428,['John C Shaw'],John C Shaw,1,['John C Shaw'],4,0.0,0.0,17199.0,,,,No Match,Too Many Potential Matches Found (6),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John C_Shaw&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
571,['Laurent Deonna'],Laurent Deonna,1,['Laurent Deonna'],3,0.0,0.0,17146.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Laurent_Deonna&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
450,['John Dewhurst'],John Dewhurst,1,['John Dewhurst'],7,13718.0,1219.0,16785.0,"New York City East Ward, New York, New York",4.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Dewhurst&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
135,['Cornelius Ray'],Cornelius Ray,1,['Cornelius Ray'],5,6637.0,3368.0,16147.0,"New York City East Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Cornelius_Ray&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
693,['Richard Neave'],Richard Neave,1,['Richard Neave'],2,0.0,0.0,15432.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Neave&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
805,['Thomas Randall'],Thomas Randall,1,['Randall Son and Stenvarts'],5,9269.0,5936.0,14940.0, New York,,,Match,Only Location Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Randall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
8,['Abijah Hammond'],Abijah Hammond,1,['Abijah Hammond'],8,0.0,0.0,14824.0,"New York City East Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abijah_Hammond&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
525,['John Templeman'],John Templeman,1,"['John Templeman', 'Jon Templeman']",5,0.0,0.0,14797.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Templeman&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
540,['Jonas Stanberry'],Jonas Stanberry,1,['Jonas Stanberry'],25,0.0,0.0,14746.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonas_Stanberry&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
703,['Robert C'],Robert C,1,"['Robert C Livingston', 'Robert R Randall']",5,2664.0,1384.0,14297.0,"New York City Dock Ward, New York, New York",11.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert C_Livingston&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
695,['Richard Smith'],Richard Smith,1,['Richard Smith'],5,0.0,0.0,14162.0,,,,No Match,Too Many Potential Matches Found (14),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Smith&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
227,['Gabriel Furman'],Gabriel Furman,1,['Gabriel Furman'],7,3040.0,1570.0,13486.0,"New York City North Ward, New York, New York",9.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gabriel_Furman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
866,['William Stiles'],William Stiles,1,['William Stiles'],1,0.0,0.0,12875.0,"South Hempstead, Queens, New York",6.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Stiles&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
517,['John Stevens'],John Stevens,1,['John Stevens'],6,0.0,0.0,12442.0,,,,No Match,Too Many Potential Matches Found (8),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Stevens&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
53,['Anspach and Rogers'],Anspach and Rogers,1,['Anspach and Rogers'],4,1916.0,1055.0,12397.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Anspach and_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
175,['Dominick Lynch'],Dominick Lynch,1,['Dominick Lynch'],6,8080.0,4092.0,12286.0,"New York City West Ward, New York, New York",15.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Dominick_Lynch&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
243,['George Johnson'],George Johnson,1,['George Johnson'],1,0.0,0.0,12178.0,,,,No Match,Too Many Potential Matches Found (2),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Johnson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
787,['Thomas Fitzpatrick'],Thomas Fitzpatrick,1,['Thomas Fitzpatrick'],1,0.0,0.0,12028.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Fitzpatrick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
790,['Thomas H Perkins'],Thomas H Perkins,1,['Thomas H Perkins'],2,0.0,0.0,12000.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas H_Perkins&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
633,['Nathaniel Prime'],Nathaniel Prime,1,['Nathaniel Prime'],11,0.0,14896.0,11995.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Prime&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
282,['Henry Huntington'],Henry Huntington,1,['Henry Huntington'],21,0.0,0.0,11719.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Huntington&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
113,"['Charles John Michael De Wolf', 'Henry van der Borcht']",Henry van der Borcht,2,['Charles and Vanderborcht and DeWolf'],1,0.0,0.0,11700.0,,,,No Match,No Match Found,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry van der_Borcht&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
338,['Jacob Reed'],Jacob Reed,1,['Jacob Reed'],7,26272.0,13287.0,11313.0,,,,No Match,Too Many Potential Matches Found (3),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
492,['John Mowatt'],John Mowatt,1,['John Mowatt'],20,0.0,0.0,11239.0,,,,No Match,Too Many Potential Matches Found (10),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Mowatt&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
559,['Joseph Lewis'],Joseph Lewis,1,['Joseph Lewis'],4,9012.0,4555.0,10756.0,,,,No Match,Too Many Potential Matches Found (5),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
311,['Isaac Rosevelt'],Isaac Rosevelt,1,['Isaac Roosevelt'],2,0.0,0.0,10576.0,"New York City Montgomery Ward, New York, New York",18.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Roosevelt&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
485,['John Lawrence'],John Lawrence,1,"['John Lawrence', 'John Laurence']",5,641.0,372.0,10298.0,,,,No Match,Too Many Potential Matches Found (13),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Lawrence&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
477,['John Jones'],John Jones,1,['John Jones'],1,0.0,0.0,10259.0,,,,No Match,Too Many Potential Matches Found (19),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Jones&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
406,['Jn H Cazenover'],Jn H Cazenover,1,['Jn H Cazenover and Co'],3,0.0,0.0,10159.0,,,,No Match,No Match Found,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jn H_Cazenover&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
183,"['George Morewood', 'Edmund Moorewood']",Edmund Moorewood,2,['George and Edm Morewood'],3,0.0,0.0,10039.0,"New York City Montgomery Ward, New York, New York",3.0,,Match,Full Match,See Supplementary Table,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edm_Morewood&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
467,['John Harbeck'],John Harbeck,1,['John Harbach'],1,0.0,0.0,10006.0,"Watervliet, Albany, New York",10.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Harbach&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
497,['John O Conner'],John O Conner,1,['John O Conner'],1,0.0,0.0,10000.0,,,,No Match,Too Many Potential Matches Found (9),,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John O_Conner&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
288,['Henry Sadler'],Henry Sadler,1,['Henry Sadler'],1,0.0,0.0,9859.0,"New York City East Ward, New York, New York",8.0,,Match,Full Match,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Henry_Sadler&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
738,['Samuel Robinson'],Samuel Robinson,1,['Robinson and Hartshorn'],6,0.0,0.0,9689.0,,,,No Match,Too Many Potential Matches Found (2),Potentially Multiple People,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Robinson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
