,Index,Original Name,Search Name,Name #,Match Status,Match Reason,Location,Family Size,Slavecount,url
10,16,['James Hill'],['James Hill'],1,No Match,Too Many Potential Matches Found 5,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Hill&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
11,17,['George Lewis'],['George Lewis'],1,No Match,Too Many Potential Matches Found 2,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Lewis&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
12,18,['George Scriba'],['George Scriba'],1,Match,Full Match,"New York City East Ward, New York, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Scriba&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
13,19,['John Ashley'],['John Ashley'],1,Match,Full Match,"New York City North Ward, New York, New York",3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Ashley&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
14,20,['Robert Daniel and Guilian Crommelin'],['Guilian Crommelin'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Guilian_Crommelin&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
15,20,['Robert Daniel and Guilian Crommelin'],['Robert Daniel'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Daniel&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
16,21,['Daniel Badcock'],['Daniel Badcock'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Badcock&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
17,23,['Daniel Ludlow'],['Daniel Ludlow'],1,No Match,Too Many Potential Matches Found 3,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Ludlow&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
18,24,['Jabez Campfield'],['Jabez Campfield'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jabez_Campfield&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
19,26,['Charles Anderson'],['Charles Anderson'],1,Match,Full Match,"New York City Out Ward, New York, New York",1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Anderson&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
20,27,['William Leatham'],['Willm Latham'],1,Match,Full Match,"Rensselaerwick, Albany, New York",7,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Leatham&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
21,29,['John Walker'],['John Walker'],1,No Match,Too Many Potential Matches Found 11,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Walker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
22,31,['Richard Smith'],['Richard Smith'],1,No Match,Too Many Potential Matches Found 14,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Smith&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
23,34,['James F Sebor and Co'],['James F Sebor'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James F_Sebor&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
24,35,['Michael McLachlan'],['Michael McLauchlin'],1,Match,Full Match,"New York City Out Ward, New York, New York",2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Michael_McLachlan&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
25,36,['Dominick Lynch'],['Dominick Lynch'],1,Match,Full Match,"New York City West Ward, New York, New York",15,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Dominick_Lynch&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
26,37,['Isaac Whippo'],['Isaac Whippo'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Whippo&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
27,41,"['Joseph Pitcain', 'Joseph Pitcairn']",['Joseph Pitcain'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Pitcain&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
28,41,"['Joseph Pitcain', 'Joseph Pitcairn']",['Joseph Pitcairn'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Pitcairn&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
29,42,['Mary Bryant'],['Mary Bryant'],1,Match,Full Match,"New York City South Ward, New York, New York",12,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary_Bryant&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
30,46,"['John Lawrence', 'John Laurence']",['John Lawrence'],1,No Match,Too Many Potential Matches Found 13,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Lawrence&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
31,46,"['John Lawrence', 'John Laurence']",['John Laurence'],1,No Match,Too Many Potential Matches Found 14,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Laurence&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
32,47,['Charles Wilkes'],['Charles Wilkes'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Wilkes&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
33,50,['Richard Platt'],['Richard Platt'],1,Match,Full Match,"New York City Out Ward, New York, New York",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Platt&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
34,51,['Mary Van Schaick'],['Mary Van Schaick'],1,Match,Only Location Found, Albany,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mary Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
35,52,['John R B Rogers'],['John R B Rogers'],1,No Match,Too Many Potential Matches Found 18,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John R B_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
36,54,"['Peter Gansevoort', 'Peter Gansevert']",['Peter Gansevoort'],1,Match,Full Match,"Albany Ward 3, Albany, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Gansevoort&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
37,54,"['Peter Gansevoort', 'Peter Gansevert']",['Peter Gansevoort'],1,Match,Full Match,"Albany Ward 3, Albany, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Peter_Gansevert&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
38,55,['Cornelius Ray'],['Cornelius Ray'],1,Match,Full Match,"New York City East Ward, New York, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Cornelius_Ray&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
39,56,['Garrit W Van Schaick'],['Garrit Van Schaick'],1,Match,Full Match,"Schenectady, Albany, New York",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Garrit W Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
40,58,['Nicholas Roosevelt'],['Nicholas Roosevelt'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Roosevelt&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
41,60,['Daniel Penfield'],['Daniel Penfield'],1,Match,Full Match,"New York City East Ward, New York, New York",10,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Penfield&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
42,61,['Nicholas Low'],['Nicholas Low'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Low&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
43,62,['Philip Conine'],['Philip Canine Junior'],1,Match,Full Match,"Coxsackie, Albany, New York",4,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Conine&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
44,63,['John Fonda'],['John Fonda'],1,No Match,Too Many Potential Matches Found 6,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Fonda&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
45,68,['Horatio Gates'],['Horatio Gates'],1,Match,Full Match,"New York City Out Ward, New York, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Horatio_Gates&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
46,69,['Edward Parker'],['Edward Parker'],1,No Match,Too Many Potential Matches Found 2,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Edward_Parker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
47,70,['George Service'],['George Service'],1,No Match,Too Many Potential Matches Found 2,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=George_Service&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
48,71,"['Jonathan Maltbe', 'Jonathan Malbie', 'Jonathan Maltbie']",['Jonathan Maltbe'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Maltbe&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
49,71,"['Jonathan Maltbe', 'Jonathan Malbie', 'Jonathan Maltbie']",['Jonathan Malbie'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Malbie&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
50,71,"['Jonathan Maltbe', 'Jonathan Malbie', 'Jonathan Maltbie']",['Jonathan Maltbie'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jonathan_Maltbie&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
51,74,['Lydia Watkins'],['Lydia Watkins'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Lydia_Watkins&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
52,76,['Garrit Lansing'],['Garrit Lansing'],1,Match,Only Location Found, Albany,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Garrit_Lansing&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
53,79,['Andrew Craigie'],['Andrew Craig'],1,Match,Full Match,"Middletown, Ulster, New York",2,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Andrew_Craigie&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
54,81,['Jacob Reed'],['Jacob Reed'],1,No Match,Too Many Potential Matches Found 3,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
55,82,['Maria Van Schaick'],['Maria Van Schaick'],1,Match,Only Location Found, Albany,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Maria Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
56,84,['Robert T Kemble'],['Robert Kemble'],1,Match,Full Match,"New York City North Ward, New York, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert T_Kemble&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
57,85,['John Conway'],['John Conway'],1,Match,Full Match,"North Castle, Westchester, New York",6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Conway&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
58,86,['Susannah Nardill'],['Susannah Nardill'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Susannah_Nardill&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
59,87,['Thomas McEuen'],['Thomas Euen'],1,Match,Full Match,"New York City Dock Ward, New York, New York",1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_McEuen&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
60,88,"['Joiz Koiz Silva', 'Joize Rovi Silva']",['Joiz Koiz Silva'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joiz Koiz_Silva&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
61,88,"['Joiz Koiz Silva', 'Joize Rovi Silva']",['Joize Rovi Silva'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joize Rovi_Silva&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
62,89,['Joseph Hallett'],['Joseph Hallete'],1,Match,Full Match,"Caughnawaga, Montgomery, New York",1,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Hallett&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
63,90,"['James Hill', 'John De la Mater']",['James Hill'],1,No Match,Too Many Potential Matches Found 5,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Hill&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
64,90,"['James Hill', 'John De la Mater']",['John De la Mater'],1,No Match,Too Many Potential Matches Found 12,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John De la_Mater&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
65,91,['Brochholz and Livingston'],['Brocholst Livingston'],1,Match,Full Match,"New York City West Ward, New York, New York",15,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Brochholz and_Livingston&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
66,92,"['Alida Van Schaick', 'Hilda Van Schaick']",['Alida Van Schaick'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Alida Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
67,92,"['Alida Van Schaick', 'Hilda Van Schaick']",['Hilda Van Schaick'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Hilda Van_Schaick&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
68,94,['Jacob and Philip Mark'],['Philip Mark'],1,Match,Full Match,"New York City East Ward, New York, New York",6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Philip_Mark&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
69,94,['Jacob and Philip Mark'],['Jacob Van Der Mark'],1,Match,Full Match,"Marbletown, Ulster, New York",3,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Mark&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
70,95,['Walter W Heyer and Co'],['Walter W Heyer'],1,Match,Only Location Found, New York,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Walter W_Heyer&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
71,100,['Thomas Storm'],['Thomas Storm'],1,No Match,Too Many Potential Matches Found 4,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Storm&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
72,101,['Nicholas Cruger'],['Nicholas Cruger'],1,Match,Full Match,"New York City South Ward, New York, New York",16,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Cruger&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
73,102,"['Nathan Ker', 'Nathaniel Ker']",['Nathan Ker'],1,Match,Full Match,"Goshen, Orange, New York",12,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Ker&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
74,102,"['Nathan Ker', 'Nathaniel Ker']",['Nathan Ker'],1,Match,Full Match,"Goshen, Orange, New York",12,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathan_Ker&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
75,103,['Elsey Everson'],['Elsey Everson'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elsey_Everson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
76,107,['Gabriel Furman'],['Gabriel Furman'],1,Match,Full Match,"New York City North Ward, New York, New York",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gabriel_Furman&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
77,108,['Anspach and Rogers'],['Anspach and Rogers'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Anspach and_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
78,110,['Helena Bogart'],['Helena Bogart'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Helena_Bogart&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
79,111,['John Bush'],['John Bush'],1,No Match,Too Many Potential Matches Found 8,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Bush&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
80,112,['Charles Shaw'],['Charles Shaw'],1,Match,Full Match,"New York City North Ward, New York, New York",5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Charles_Shaw&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
81,113,['John Lawrence'],['John Lawrence'],1,No Match,Too Many Potential Matches Found 13,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Lawrence&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
82,114,['Abraham Duryee'],['Abraham Duryee'],1,No Match,Too Many Potential Matches Found 5,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Duryee&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
83,116,"['Maria De Frust', 'Maria De Freert']",['Mary Frost'],1,Match,Full Match,"York, Westchester, New York",5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Maria De_Frust&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
84,116,"['Maria De Frust', 'Maria De Freert']",['Maria De Freert'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Maria De_Freert&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
85,117,"['Susannah Wardill', 'Susannah Nardill']",['Susannah Wardill'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Susannah_Wardill&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
86,117,"['Susannah Wardill', 'Susannah Nardill']",['Susannah Nardill'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Susannah_Nardill&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
87,120,['Daniel C Verplanck'],['Daniel C'],1,Match,Full Match,"New York City North Ward, New York, New York",10,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel C_Verplanck&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
88,121,['Theodosius Fowler and Co'],['Theodorius Fowler'],1,Match,Full Match,"New York City East Ward, New York, New York",8,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theodosius_Fowler&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
89,123,['John Buchanan'],['John Buchanan'],1,No Match,Too Many Potential Matches Found 2,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Buchanan&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
90,124,['John R Livingston'],['John R Livingston'],1,No Match,Too Many Potential Matches Found 11,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John R_Livingston&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
91,125,['Randall Son and Stewarts'],['Thomas Randall'],1,Match,Only Location Found, New York,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Randall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
92,126,['David Dickson'],['David Dixon'],1,Match,Full Match,"Cambridge, Albany, New York",10,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Dickson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
93,127,['John Jones'],['John Jones'],1,No Match,Too Many Potential Matches Found 19,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Jones&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
94,128,['Berry and Rogers'],['Berry and Rogers'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Berry and_Rogers&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
95,129,"['Catherine Hasbrook', 'Catherine Harsbrook']",['Catherine Hasbrook'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Catherine_Hasbrook&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
96,129,"['Catherine Hasbrook', 'Catherine Harsbrook']",['Catherine Harsbrook'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Catherine_Harsbrook&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
97,130,['John De la Mater'],['John De la Mater'],1,No Match,Too Many Potential Matches Found 12,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John De la_Mater&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
98,134,"['Theodosius V W Graham', 'Theo V W Graham']",['Theodorus Van Wyck Graham'],1,Match,Full Match,"Albany Ward 3, Albany, New York",10,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theodosius V W_Graham&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
99,134,"['Theodosius V W Graham', 'Theo V W Graham']",['Theo V W Graham'],1,No Match,No Match Found,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Theo V W_Graham&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
100,136,['Samuel Ward and Brothers'],['Samuel Ward'],1,No Match,Too Many Potential Matches Found 3,,,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Ward&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
101,137,['Gilbert Saltonstall'],['Gilbert Saltonstall'],1,Match,Full Match,"New York City Montgomery Ward, New York, New York",12,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Gilbert_Saltonstall&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
102,140,['Joseph Hardy'],['Joseph Hardy'],1,Match,Full Match,"New York City Montgomery Ward, New York, New York",6,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph_Hardy&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
103,141,['John Harbach'],['John Harbeck'],1,Match,Full Match,"Watervliet, Albany, New York",10,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Harbach&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0
104,143,['James Fitzpatrick'],['James Fitzpatrick'],1,Match,Full Match,"New York City South Ward, New York, New York",5,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Fitzpatrick&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
105,148,['James Carter'],['James Carter'],1,Match,Full Match,"New York City East Ward, New York, New York",9,,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Carter&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0
