,Occupations,6p_Total,count,state,Average (6p),6p_Total_pct,count_pct
29,farmer,2989.0,5,Pennsylvania,597.8,0.1,0.41
40,guardian,2953.0,3,Pennsylvania,984.33,0.1,0.24
10,butcher,2847.0,1,Pennsylvania,2847.0,0.1,0.08
87,skinner,2835.0,2,Pennsylvania,1417.5,0.1,0.16
41,"guardian, widow",2819.0,3,Pennsylvania,939.67,0.1,0.24
16,cloak maker,2793.0,1,Pennsylvania,2793.0,0.09,0.08
67,physician,2705.0,1,Pennsylvania,2705.0,0.09,0.08
59,"merchant, grocer",2676.0,1,Pennsylvania,2676.0,0.09,0.08
88,spinster,2651.0,2,Pennsylvania,1325.5,0.09,0.16
95,widow,2646.0,3,Pennsylvania,882.0,0.09,0.24
11,cabinet maker,2457.0,1,Pennsylvania,2457.0,0.08,0.08
8,book binder,2456.0,2,Pennsylvania,1228.0,0.08,0.16
28,"executor, receiver general of land office, governor, colonel",2427.0,1,Pennsylvania,2427.0,0.08,0.08
96,wooden planemaker,2413.0,1,Pennsylvania,2413.0,0.08,0.08
80,ship wright,2329.0,2,Pennsylvania,1164.5,0.08,0.16
4,"attorney, esquire",2095.0,2,Pennsylvania,1047.5,0.07,0.16
52,"merchant, blacksmith",2061.0,1,Pennsylvania,2061.0,0.07,0.08
75,rigger,2061.0,1,Pennsylvania,2061.0,0.07,0.08
90,tanner,2024.0,2,Pennsylvania,1012.0,0.07,0.16
97,yeoman,1911.0,2,Pennsylvania,955.5,0.06,0.16
6,blacksmith,1612.0,4,Pennsylvania,403.0,0.05,0.33
77,school master,1593.0,1,Pennsylvania,1593.0,0.05,0.08
21,doctor,1557.0,1,Pennsylvania,1557.0,0.05,0.08
93,treasurer,1193.0,1,Pennsylvania,1193.0,0.04,0.08
83,"shopkeeper, executor",1146.0,1,Pennsylvania,1146.0,0.04,0.08
39,grocer,892.0,1,Pennsylvania,892.0,0.03,0.08
7,boardinghouse keeper,876.0,2,Pennsylvania,438.0,0.03,0.16
17,coach maker,860.0,1,Pennsylvania,860.0,0.03,0.08
36,"gentlewoman, spinster",842.0,1,Pennsylvania,842.0,0.03,0.08
34,"gentlewoman, administrator",832.0,1,Pennsylvania,832.0,0.03,0.08
68,plaistr,783.0,1,Pennsylvania,783.0,0.03,0.08
72,"professor, executor",757.0,1,Pennsylvania,757.0,0.03,0.08
73,receiver general of land office,719.0,1,Pennsylvania,719.0,0.02,0.08
61,"merchant, shoemaker",703.0,1,Pennsylvania,703.0,0.02,0.08
76,sadler,609.0,1,Pennsylvania,609.0,0.02,0.08
19,"cordwainer, shoemaker",508.0,1,Pennsylvania,508.0,0.02,0.08
22,doorkeeper,429.0,1,Pennsylvania,429.0,0.01,0.08
69,plasterer,400.0,1,Pennsylvania,400.0,0.01,0.08
74,reverend,354.0,1,Pennsylvania,354.0,0.01,0.08
64,miller,252.0,1,Pennsylvania,252.0,0.01,0.08
38,goldsmith,246.0,1,Pennsylvania,246.0,0.01,0.08
18,conveyancer,222.0,1,Pennsylvania,222.0,0.01,0.08
42,hatter,169.0,1,Pennsylvania,169.0,0.01,0.08
84,"shopkeeper, shop keeper",166.0,1,Pennsylvania,166.0,0.01,0.08
81,shoemaker,124.0,1,Pennsylvania,124.0,0.0,0.08
79,sheriff,116.0,1,Pennsylvania,116.0,0.0,0.08
