,Search Names,Location,Search Name,Original Names,Original Occupations,# debtholders,count,6p_Total,6p_def_Total,3p_Total,Family Size,Slavecount,Match Status,Match Reason,url,origin
10,"['John Atkenson', 'Francis Atkinson']",,Francis Atkinson,['John and Francis Atkinson'],,2,17,9169.0,4637.0,25777.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Francis_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
11,"['Jacob Reed', 'Jabcob Reed']",,Jacob Reed,"['Jacob Reed', 'Jabcob Reed']",,2,1,8751.0,4426.0,2371.0,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Reed&name_x=1_1&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
12,"['Joseph Nightingale', 'Innis Clarke']","Providence, Providence, Rhode Island",Innis Clarke,"[[['Clark and Nightingale'], ['Clark and Nightingale transferred', 'Clark and Nightingale Transferred from Register'], ['Clark and Nightingale transfer from register', 'William Larned', 'Clark and Nightingale transfer from Register']], [['Clark and Nightingale'], ['Clark and Nightingale transferred', 'Clark and Nightingale Transferred from Register'], ['Clark and Nightingale transfer from register', 'William Larned', 'Clark and Nightingale transfer from Register']]]",['Merchant'],2,7,7732.0,4126.0,5837.0,13,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Joseph+Innes_Clark&name_x=s_s&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-0,Aggregated CD debt files
13,"['Mordica & Co.  Lewis', 'Morecai Lewis']","Philadelphia, Philadelphia, Pennsylvania",Morecai Lewis,"[[['Mordecai Lewis', 'Mordeai Lewis'], ['Mordecai Lewis'], ['Morecai Lewis', 'Mordecai Lewis'], ['Mordecai Lewis', 'Mordceai Lewis']], [['Morecai Lewis', 'Mordecai Lewis']]]","['Merchant', 'Mert']",2,1,6007.0,3052.0,1656.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Morecai_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
14,"['Charles Stewart', 'James MacColloch']","Anne Arundel, Maryland",James MacColloch,"[[['Charles Stuart and James McCulloch']], [['Charles Stuart and James McCulloch']]]",[],2,1,5463.0,2731.0,4638.0,27,15.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Mcculloch&name_x=s_s&residence=_anne+arundel-maryland-usa_169&residence_x=1-0_1-0,Aggregated CD debt files
15,"['Moses Ogden', 'Charles Ogden']",,Moses Ogden,['Moses and Charles Ogden'],,2,2,5423.0,2711.0,5741.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Moses_Ogden&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
16,"['Samuel Wyatt', 'Lemuel Wyatt']", Bristol,Samuel Wyatt,"[[['Samuel Wyatt', 'Lemuel Wyatt']], [['Samuel Wyatt', 'Lemuel Wyatt']]]",['Merchant'],2,1,5247.0,2673.0,1502.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Wyatt&name_x=s_s&residence=_rehoboth-bristol-massachusetts-usa_4346&residence_x=1-0_1-1,Aggregated CD debt files
17,"['Richd Potter', 'James  Potter']","Philadelphia City, Philadelphia, Pennsylvania",James  Potter,"[[['Richard and James Potter'], ['Richard Potter']], [['Richard and James Potter']]]","['Merchant', 'Carpr']",2,5,5144.0,2672.0,3049.0,7,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Potter&name_x=1_1&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-0,Aggregated CD debt files
18,"['John Grover', 'Elizh Grover']","Montgomery, Pennsylvania",Elizh Grover,"[[['Elizabeth and John Grover']], [['Elizabeth and John Grover']]]",['Ex to the Estate Christopher Grover'],2,1,4736.0,2369.0,1977.0,5,0.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Elizabeth_Grover&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
19,"['Moses Brown', 'Nicholas Brown']",Rhode Island,Nicholas Brown,"[[['Moses and Nicholas Brown transferred', 'Moses and Nicholas Brown Transferred from Treasury', 'Mess and Nicholas Brown transferred']], [['Moses and Nicholas Brown transferred', 'Moses and Nicholas Brown Transferred from Treasury', 'Mess and Nicholas Brown transferred'], ['Nicholas Brown transfer from register', 'Nicholas Brown Transferred from the Register', 'Nicholas Brown transferred from Register'], ['Nicholas Brown']]]",[],3,1,4710.0,1828.0,2168.0,,,No Match,Too Many Potential Matches Found (4),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nicholas_Brown&name_x=1_1&residence=_Rhode Island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
20,"['John N Bleeker', 'John N Bleecher']",,John N Bleecher,"['John N Bleecher', 'John N Blecker']",,2,1,4310.0,2159.0,2315.0,,,No Match,Too Many Potential Matches Found (7),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John N_Bleecher&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
21,"['Abraham Wilt', 'Abraham Witt']","Philadelphia, Philadelphia, Pennsylvania",Abraham Witt,"[[['Abraham Wilt', 'Abraham Witt']], [['Abraham Wilt', 'Abraham Witt']]]",['Merchant'],2,2,4203.0,2151.0,1497.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Abraham_Witt&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
22,"['Samuel Strawbridge', 'James Strawbridge', 'John McDowell', 'James Johnston']",Pennsylvania,Samuel Strawbridge,"[[['James Johnston John McDowell and James Strawbridge', 'James Johnston John McDowell and Samuel Strawbridge']], [['James Johnston John McDowell and James Strawbridge', 'James Johnston John McDowell and Samuel Strawbridge']], [['James Johnston John McDowell and James Strawbridge', 'James Johnston John McDowell and Samuel Strawbridge'], ['William Sherer and McDowell', 'William Sherer and John McDowell']], [['James Johnston John McDowell and James Strawbridge', 'James Johnston John McDowell and Samuel Strawbridge'], ['James Johnston', 'James Johnston and Co']]]",['Executors to Estate of Alexander Johnston Deceased'],4,3,3777.0,2037.0,1041.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Samuel_Strawbridge&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
23,"['Makeus Bement', 'Makens Bement']","East Hartford, Hartford, Connecticut",Makeus Bement,"[[['Makeus Bement', 'Makens Bement']], [['Makeus Bement', 'Makens Bement']]]",['Sadler'],2,1,3598.0,1799.0,1351.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Makeus_Bement&name_x=ps_ps&residence=_east+hartford-hartford-connecticut-usa_405&residence_x=1-0_1-1,Aggregated CD debt files
24,"['David Lewis', 'Isaac  Wharton']","Philadelphia, Philadelphia, Pennsylvania",David Lewis,"[[['Wharton and Lewis']], [['Isaac Wharton'], ['Wharton and Lewis']]]","['Merchant', 'Gent.']",2,2,3395.0,1747.0,2074.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
25,"['Thomas  Mitflin', 'David Lenox', 'Lawce Kuhns', 'Charles Smith', 'Colonel Coln Francis  Johnston']","Water Street East Side, Philadelphia, Pennsylvania",David Lenox,"[[['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene'], ['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']], [['Thomas Mifflin and Francis Johnston David Lenax and Charles Smith', 'Thomas Mifflin and Co Ex', 'His Executor Thomas Mifflin Francis Johnston David Lenox Charles Smith Ex to Ex Lawrence Keene']]]","['Executer to Lawrence Keane Deceased', 'Governor of the State', 'Colonel', 'Receiver Gen. of Land Office']",5,2,3236.0,1618.0,1042.0,6,1.0,Match,Full Match,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=David_Lenax&name_x=s_s&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
26,"['Mordica & Co.  Lewis', 'Mordeai Lewis']", Philadelphia,Mordeai Lewis,"[[['Mordecai Lewis', 'Mordeai Lewis'], ['Mordecai Lewis'], ['Morecai Lewis', 'Mordecai Lewis'], ['Mordecai Lewis', 'Mordceai Lewis']], [['Mordecai Lewis', 'Mordeai Lewis']]]","['Merchant', 'Mert']",2,1,3185.0,1642.0,1228.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Mordeai_Lewis&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
27,"['William Mchvaine', 'William Mcilvaine']",Pennsylvania,William Mchvaine,"[[['William McHvaine', 'William McIlvaine']], [['William McHvaine', 'William McIlvaine']]]",[],2,1,3148.0,1574.0,1333.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Mchvaine&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
28,"['Daniel  Hartung', 'Daniel Karteing']","Philadelphia, Philadelphia, Pennsylvania",Daniel Karteing,"[[['Daniel Karteing', 'Daniel Hartung']], [['Daniel Karteing', 'Daniel Hartung']]]","['Furrier', 'Furrier']",2,1,3125.0,1612.0,1551.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Daniel_Karteing&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
29,"['Isaac Craige', 'Isaac Craig']",Pennsylvania,Isaac Craige,"[[['Isaac Craige', 'Isaac Craig']], [['Isaac Craige', 'Isaac Craig']]]",[],2,3,3090.0,1643.0,1674.0,,,No Match,Too Many Potential Matches Found (2),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Isaac_Craige&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
30,"['Jacob Frank', 'Jacob Franks']",Pennsylvania,Jacob Franks,"[[['Jacob Franks', 'Jacob Frank']], [['Jacob Franks', 'Jacob Frank']]]",[],2,1,3007.0,1553.0,800.0,,,No Match,Too Many Potential Matches Found (3),https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob_Franks&name_x=1_1&residence=_Pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
31,"['Colonel Colo John Gunby', 'John Gunley']","Worcester, Maryland",John Gunley,"[[['John Gunley', 'John Gunby']], [['John Gunley', 'John Gunby']]]",[],2,1,2950.0,1475.0,1958.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Gunley&name_x=ps_ps&residence=_worcester-maryland-usa_3199&residence_x=1-0_1-0,Aggregated CD debt files
32,"['Adam Gilchrist From Sa Caro', 'Adam Gilcrist']", Pennsylvania,Adam Gilchrist From Sa Caro,"[[['Adam Gilchrist from Sa Caro', 'Adam Gilchrist']], [['Adam Gilchrist from Sa Caro', 'Adam Gilchrist']]]",['Merchant'],2,1,2927.0,1513.0,2664.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Adam+Gilchrist+From+Sa_Caro&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
33,"['Thomas Dick', 'John Laird']",Maryland,Thomas Dick,"[[['John Laird And Thomas Dick'], ['John Laird and Thomas Dick', 'John Laird And Thomas Dick']], [['John Laird And Thomas Dick'], ['John Laird and Thomas Dick', 'John Laird And Thomas Dick']]]",['Executor of Robert Dick'],2,2,2841.0,0.0,4000.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Dick&name_x=ps_ps&residence=_maryland-usa_23&residence_x=1-0_1-0,Aggregated CD debt files
34,"['James Davenport', 'John Davenport']", Fairfield,John Davenport,"[[['John and James Davenport'], ['James Davenport']], [['John and James Davenport'], ['John Davenport']]]",[],2,5,2757.0,1527.0,1796.0,,,Match,Only Location Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=John_Davenport&name_x=1_1&residence=_stamford-fairfield-connecticut-usa_83&residence_x=1-0_1-0,Aggregated CD debt files
35,"['Adam Hubley', 'Adam Hunley']",Pennsylvania,Adam Hunley,"[[['Adam Hubley', 'Adam Hunley']], [['Adam Hubley', 'Adam Hunley']]]",[],2,1,2750.0,1375.0,792.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Adam_Hunley&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
36,"['Thomas Folwell', 'Joseph Hart']",Pennsylvania,Thomas Folwell,"[[['Thomas Folwell and Joseph Hart Executor of John Hart deceased', 'Thomas Folwell and Jo Hart', 'Thomas Folwell and Joseph Hart']], [['Thomas Folwell and Joseph Hart Executor of John Hart deceased', 'Thomas Folwell and Jo Hart', 'Thomas Folwell and Joseph Hart']]]",['Executor to Estate of John Hart deceased'],2,1,2743.0,1372.0,1297.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Thomas_Folwell&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
37,"['Jacob Laverswyler', 'Jacob Lawer Swyler']","Philadelphia, Philadelphia, Pennsylvania",Jacob Lawer Swyler,"[[['Jacob Lawerswyler', 'Jacob Lawer Swyler']], [['Jacob Lawerswyler', 'Jacob Lawer Swyler'], ['Jacob Lawer Swyler']]]",['Sugar Baker'],2,1,2699.0,1350.0,798.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Jacob+Lawer_Swyler&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
38,"['Richard Tindall', 'Richard Pindell']","Washington, Maryland",Richard Tindall,"[[['Richard Tindall', 'Richard Pindall', 'Richard Pindell']], [['Richard Tindall', 'Richard Pindall', 'Richard Pindell'], ['Richard Tindall', 'Richard Pindall', 'Richard Pindell']]]",[],2,1,2448.0,1224.0,1664.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Richard_Tindall&name_x=ps_ps&residence=_washington-maryland-usa_3061&residence_x=1-0_1-0,Aggregated CD debt files
39,"['Robert Coltman', 'Robert Collman']","Montgomery, Pennsylvania",Robert Collman,"[[['Robert Coltman', 'Robert Collman', 'Robert Cottman'], ['Robert Coltman', 'Robert Collman', 'Robert Cottman']], [['Robert Coltman', 'Robert Collman', 'Robert Cottman']]]",[],2,1,2437.0,1268.0,698.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Robert_Collman&name_x=ps_ps&residence=_montgomery-pennsylvania-usa_2087&residence_x=1-0_1-0,Aggregated CD debt files
40,"['James Serle', 'James Scarle']",Pennsylvania,James Scarle,"[[['James Searle', 'James Scarle']], [['James Searle', 'James Scarle']]]",[],2,1,2333.0,1166.0,879.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Scarle&name_x=ps_ps&residence=_pennsylvania-usa_41&residence_x=1-0_1-0,Aggregated CD debt files
41,"['James Atkinson', 'John Atkenson']",,James Atkinson,"['James Atkinson', 'John Atkinson', 'John and Francis Atkinson']",,2,1,2200.0,1101.0,2249.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=James_Atkinson&name_x=ps_ps&residence=_new+york-usa_35&residence_x=_1-0,NY debt file
42,"['Nathaniel Wheater', 'Nathaniel Wheaton']","Providence, Providence, Rhode Island",Nathaniel Wheater,"[[['Nathaniel Wheaton', 'Nathaniel Wheater']], [['Nathaniel Wheaton', 'Nathaniel Wheater']]]",['Merchant'],2,1,2189.0,1144.0,678.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Nathaniel_Wheater&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
43,"['Luke Morris 7', 'Luke Morris']","Philadelphia, Philadelphia, Pennsylvania",Luke Morris 7,"[[['Luke Morris', 'Luke Morris 7']], [['Luke Morris', 'Luke Morris 7']]]",[],2,2,2118.0,1110.0,1415.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Luke+Morris_7&name_x=ps_ps&residence=_philadelphia-philadelphia-pennsylvania-usa_15153&residence_x=1-0_1-1,Aggregated CD debt files
44,"['Enos Hitchcock', 'Enos Hitchock']","Providence, Providence, Rhode Island",Enos Hitchock,"[[['Enos Hitchcock', 'Enos Hitchock', 'Enos Hitchcoch'], ['Enos Hitchcock', 'Enos Hitchock', 'Enos Hitchcoch']], [['Enos Hitchcock', 'Enos Hitchock', 'Enos Hitchcoch']]]",['Reverend'],2,1,2109.0,1054.0,1186.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=Enos_Hitchock&name_x=ps_ps&residence=_providence-providence-rhode+island-usa_5531&residence_x=1-0_1-1,Aggregated CD debt files
45,"['William Handy', 'Mehetable Handy']",Rhode Island,William Handy,"[[['Warrant for transferring into the books of this office Vizt', 'Warrant for transfering into the books of this office Vizt', 'Dr William Handy in trust for his Niece Mehetable Handy Transferred from the Books at New York'], ['No 10925 in favor of John Brown from the Register of the Treasury', '10926 in Favor Johh Brown from the Register of the Treasury', 'John Mawney transferred from the register of the Treasury']], [['Warrant for transferring into the books of this office Vizt', 'Warrant for transfering into the books of this office Vizt', 'Dr William Handy in trust for his Niece Mehetable Handy Transferred from the Books at New York'], ['No 10925 in favor of John Brown from the Register of the Treasury', '10926 in Favor Johh Brown from the Register of the Treasury', 'John Mawney transferred from the register of the Treasury']]]",[],2,2,2084.0,197.0,307.0,,,No Match,No Match Found,https://www-ancestrylibrary-com.proxy.uchicago.edu/search/collections/5058/?name=William_Handy&name_x=ps_ps&residence=_rhode+island-usa_42&residence_x=1-0_1-0,Aggregated CD debt files
