,old,new,type,state
596,"{'Reading', 'Reading Pennsylvania'}",Reading Pennsylvania,town,PA
597,"{'Northampton', 'Northampton County Pennsylvania'}",Northampton County Pennsylvania,town,PA
599,"{'Chester County Pennsylvaina', 'Chester County'}",Chester County Pennsylvaina,town,PA
600,"{'Philadelphia', 'Chester County Pennsylvaina'}",Chester County Pennsylvaina,town,PA
603,"{'Philadelphia', 'Northern Liberties'}",Northern Liberties,town,PA
604,"{'New Jersey', 'New York'}",New Jersey,town,PA
610,"{'Northum County Pennsylvania', 'Northumberland'}",Northum County Pennsylvania,town,PA
621,"{'Chambersburgh Pennsylvania', 'Chambersburg'}",Chambersburgh Pennsylvania,town,PA
637,"{'Chester County Pennsylvania', 'Chester County'}",Chester County Pennsylvania,town,PA
644,"{'Dauphincoy Pennsylvania', 'Dauphin County'}",Dauphincoy Pennsylvania,town,PA
652,"{'Cape May New Jersey', 'Cape May N Jersey'}",Cape May New Jersey,town,PA
653,"{'York County', 'York County Pennsylvania'}",York County Pennsylvania,town,PA
654,"{'Cumb County Pennsylvania', 'Cumberland County'}",Cumb County Pennsylvania,town,PA
673,"{'Delaware State', 'Delaware'}",Delaware State,town,PA
685,"{'Northampton County', 'Northampton County Pennsylvania'}",Northampton County Pennsylvania,town,PA
700,"{'Mount Holly New Jersey', 'Mount Holley New Jersey'}",Mount Holley New Jersey,town,PA
706,"{'Allegheny County Pennsylvania', 'Allegany County'}",Allegheny County Pennsylvania,town,PA
712,"{'Kensington', 'Kensignton'}",Kensington,town,PA
726,"{'Burlington New Jersey', 'Burlington'}",Burlington New Jersey,town,PA
728,"{'Allegheny County', 'Allegany County'}",Allegheny County,town,PA
783,"{'Chester County', 'Chester and County'}",Chester and County,town,PA
784,"{'Bordentown', 'Borden Town'}",Borden Town,town,PA
806,"{'German Town', 'Germantown'}",German Town,town,PA
826,"{'Westmoreland County', 'Westmoreland'}",Westmoreland County,town,PA
836,"{'New Jersey', 'Middlesex New Jersey'}",Middlesex New Jersey,town,PA
853,"{'Philadelphia', 'The Northern Libert'}",The Northern Libert,town,PA
861,"{'Lancaster', 'Lancaster County'}",Lancaster County,town,PA
862,"{'Kent County', 'Kent Company Delaware'}",Kent Company Delaware,town,PA
872,"{'Northumberland County', 'Northumberland'}",Northumberland County,town,PA
913,"{'North Libert', 'Northern Liberties'}",Northern Liberties,town,PA
914,"{'Princeton New Jersey', 'Prince Town'}",Princeton New Jersey,town,PA
935,"{'Northampton County', 'Pennsylvania'}",Northampton County,town,PA
942,"{'Virginia', 'King George Co Virginia'}",King George Co Virginia,town,PA
981,"{'York County Pennsylvania', 'York County'}",York County Pennsylvania,town,PA
995,"{'Wilmington Delaware', 'Wilmington'}",Wilmington Delaware,town,PA
996,"{'Montgomery County', 'Montgomery County Pennsylvania'}",Montgomery County Pennsylvania,town,PA
1009,"{'Burlington New Jersey', 'Berlington New Jersey'}",Burlington New Jersey,town,PA
1019,"{'Northern and County Pennsylvania', 'Northumberland County Pennsylvania'}",Northumberland County Pennsylvania,town,PA
1022,"{'The Northern Libs', 'Northern Liberties'}",Northern Liberties,town,PA
1024,"{'Sunbury Pennsylvania', 'Sundry Pennsylvania'}",Sunbury Pennsylvania,town,PA
1025,"{'Franklin County Pennsylvania', 'Franklin County'}",Franklin County Pennsylvania,town,PA
1032,"{'Philadelphia', 'Church on Philadelphia'}",Church on Philadelphia,town,PA
1073,"{'New Castle County Delaware State', 'New Castle County'}",New Castle County Delaware State,town,PA
1155,"{'Berks and County', 'Berks County Pennsylvania'}",Berks County Pennsylvania,town,PA
1156,"{'Chester County', 'Chester'}",Chester County,town,PA
1193,"{'Philadelphia', 'Westmoreland County'}",Westmoreland County,town,PA
1197,"{'Westmoreland County', 'Westmoreland County Pennsylvania'}",Westmoreland County Pennsylvania,town,PA
1203,"{'Pittsburgh', 'Paxton Tot Dauphin County'}",Paxton Tot Dauphin County,town,PA
1231,"{'North County', 'Northumberland County'}",Northumberland County,town,PA
1234,"{'Northampton County', 'Northumberland County'}",Northumberland County,town,PA
1248,"{'Northampton County', 'Northumberland'}",Northampton County,town,PA
1259,"{'New Jersey', 'Somerset County New Jersey'}",Somerset County New Jersey,town,PA
1264,"{'York Town', 'York Town Pennsylvania'}",York Town Pennsylvania,town,PA
1268,"{'York Town', 'York County'}",York County,town,PA
1274,"{'York Town', 'York County Pennsylvania'}",York County Pennsylvania,town,PA
28,"{'Merchant', 'Merchants'}",Merchants,occupation,PA
171,"{'Executer', 'Executor'}",Executer,occupation,PA
248,"{'Merchant', 'Marchant'}",Merchant,occupation,PA
571,"{'Ex of William Honeyman', 'Executor'}",Ex of William Honeyman,occupation,PA
607,"{'Adm to Estate of Job Vernon', 'Administer of the estate of Job Vernon'}",Administer of the estate of Job Vernon,occupation,PA
626,"{'Ex to the Estate John Holmes', 'Executor to the Estate of John Holmes deceased'}",Executor to the Estate of John Holmes deceased,occupation,PA
638,"{'Executor to the Estate of Jacob Coleman deceased', 'Ex to the Est of Jacob Coleman deceased'}",Executor to the Estate of Jacob Coleman deceased,occupation,PA
647,"{'Junior Broker', 'Broker'}",Junior Broker,occupation,PA
649,"{'Ex to the Estate Abraham Hull', 'Executor to the Estate Abraham Hull deceased'}",Executor to the Estate Abraham Hull deceased,occupation,PA
689,"{'Ex to Esate of Francis Hopkins', 'Executor to the Estate of Francis Hopkinson deceased'}",Executor to the Estate of Francis Hopkinson deceased,occupation,PA
696,"{'Administrator to Estate of Frederick Faring Deceased', 'Admin to the the Estate of Frederick Faring'}",Administrator to Estate of Frederick Faring Deceased,occupation,PA
708,"{'Esquier', 'Ex Philadelphia County'}",Ex Philadelphia County,occupation,PA
712,"{'Ship Wright', 'Shipwright'}",Ship Wright,occupation,PA
717,"{'Guardian to Adam Grier', 'Guardian to Adam Guier'}",Guardian to Adam Grier,occupation,PA
758,"{'Ex to the Estate of John Hart Deceased', 'Executor to Estate of John Hart deceased'}",Executor to Estate of John Hart deceased,occupation,PA
763,"{'Administrator of Daniel Joy Deceased', 'One of the Administrators of Daniel Joy Deceased'}",One of the Administrators of Daniel Joy Deceased,occupation,PA
781,"{'Executor to the Estate of Hugh Patton deceased', 'Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown'}",Executer to the Estate of Hugh Patton Deceased and Company Agents James Brown,occupation,PA
871,"{'Guadian to George Lawrence Young', 'Guardian for George Lawrence Young'}",Guardian for George Lawrence Young,occupation,PA
905,"{'Executor Samuel Inglis', 'Executer of Samuel Inglis'}",Executer of Samuel Inglis,occupation,PA
948,"{'Administer Estate of Richard Walker Deceased', 'Adm to Est of Richard Walker Deceased'}",Administer Estate of Richard Walker Deceased,occupation,PA
963,"{'Mathematician', 'Property of Mathematics'}",Property of Mathematics,occupation,PA
1044,"{'Interest for Jennet Thompson', 'Printer in Trust for Jennet Thompson'}",Printer in Trust for Jennet Thompson,occupation,PA
1080,"{'Trustee for the use of the legal representation of Thomas Albertson Deceased', 'Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased'}",Trustee for the Use of the Legal Representatives of Thomas Albertson Deceased,occupation,PA
1081,"{'Administratrix of Alexander McCaraher deceased', 'Adm of Alexander McCaraher late of Chester County Deceased'}",Adm of Alexander McCaraher late of Chester County Deceased,occupation,PA
1140,"{'Cordwainer', 'Cordwainder'}",Cordwainder,occupation,PA
1143,"{'Merchant', 'Esquire'}",Merchant,occupation,PA
1181,"{'Shop Keeper', 'Shopkeeper'}",Shop Keeper,occupation,PA
1200,"{'Trust for the Estate of Robert Dill', 'in trust for the Estate of Robert Dill'}",in trust for the Estate of Robert Dill,occupation,PA
1224,"{'Adm to the Est of William Barrell Decesed', 'Administrator to the Estate of William Barrell Deceased'}",Administrator to the Estate of William Barrell Deceased,occupation,PA
1259,"{'Trust for Jacobus Van Eis of Somerset', 'In trust for Jacobus Van Eis of Somerset County New Jersey'}",In trust for Jacobus Van Eis of Somerset County New Jersey,occupation,PA
26,"{'Gloucester', 'Glocester'}",Gloucester,town,RI
371,"{'Charlestown', 'Chalestown'}",Charlestown,town,RI
435,"{'North Kingstone', 'North Kingston'}",North Kingstone,town,RI
462,"{'North Kingstown', 'North Kingston'}",North Kingstown,town,RI
499,"{'Smithfield', 'Smithfeild'}",Smithfield,town,RI
50,"{'Camden', 'Camden Planter'}",Camden Planter,town,SC
94,"{'Pee Dee', 'Peedee'}",Pee Dee,town,SC
270,"{'Long Cane', 'Long Cames'}",Long Cames,town,SC
292,"{'Charleston', 'Charlestom'}",Charleston,town,SC
45,"{'as Executor to John Couturier', 'as Executor to Henry Coram'}",as Executor to John Couturier,occupation,SC
50,"{'Planter as Executor Ely Kershaw', 'as Executor Ely Kershaw'}",Planter as Executor Ely Kershaw,occupation,SC
182,"{'Philip Hawkins', 'Executor Philip Hawkins'}",Executor Philip Hawkins,occupation,SC
256,"{'Guardian to Mary Deborah L. Gowdey', 'as Guardian to Mary Deborah L. Gowdey'}",as Guardian to Mary Deborah L. Gowdey,occupation,SC
305,"{'Charleston Merchants', 'Merchants'}",Charleston Merchants,occupation,SC
383,"{'Assignee of James Simons', 'Physician'}",Assignee of James Simons,occupation,SC
